,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,6.897757185854071,0.26364919543266296,1.1088404655456543,6.782435094718445,0.6634405255317688,2.1698408126831055,6.784400604553222,0.6380000114440918,2.1579999923706055,1.140174933608637e+31,1109.00048828125,0.16510777175426483,0.079252690076828,0.0570940338075161,2.008676528930664e-05,0.12224769592285156,0.21441054344177246,0.36179661750793457,1.9503097534179688,1,84.46402859687805,512,0.0001,0.020000000000000004,6321,0,0
1,6.485385354128961,1.0533353090286255,3.9723987579345703,6.431953069458817,1.1707773208618164,4.160162448883057,6.351174598083496,1.253999948501587,4.914000034332275,1.2910625065351589e+30,232.009033203125,0.1653738021850586,0.07991296052932739,0.05821961164474487,7.677078247070312e-05,0.17132329940795898,0.326249361038208,0.5316622257232666,4.918734550476074,2,71.09274077415466,512,0.0001,0.04000000000000001,6321,0,0
2,6.0885302263283565,2.1962356567382812,7.485619068145752,6.127228451191988,2.115204334259033,7.485169887542725,6.024431805267334,2.312000036239624,8.231999397277832,1.3105868474165944e+29,59.52626419067383,0.1645164042711258,0.07960912585258484,0.05807194113731384,0.000377655029296875,0.21534037590026855,0.3576481342315674,0.5761661529541016,3.594207286834717,3,79.38681244850159,512,0.0001,0.06,6321,0,0
3,5.771740249312722,3.6330606937408447,11.45171070098877,5.939479923010095,3.200124740600586,10.341866493225098,5.829636603240967,3.4019999504089355,11.193999290466309,2.4552310588877647e+28,30.084060668945312,0.16417579352855682,0.07994118332862854,0.05882880091667175,0.00015163421630859375,0.22789692878723145,0.38980579376220703,0.622776985168457,5.554728031158447,4,77.35352993011475,512,0.0001,0.08000000000000002,6321,0,0
4,5.522464001259345,5.112776279449463,15.094862937927246,5.694878746262574,4.63627815246582,13.48735523223877,5.521886336517334,5.283999919891357,15.277999877929688,5.53783122038549e+27,18.210847854614258,0.16398482024669647,0.08025704324245453,0.05959713086485863,0.00015926361083984375,0.3031492233276367,0.5036745071411133,0.7759013175964355,6.351573467254639,5,70.84910035133362,512,0.0001,0.1,6321,0,0
5,5.288669364340961,6.620244026184082,18.808658599853516,5.460037669129123,5.970964431762695,17.08554458618164,5.2738834782409665,7.019999980926514,19.43199920654297,2.0801795617414273e+27,14.74063777923584,0.16431871056556702,0.08070709556341171,0.06022804230451584,0.00011968612670898438,0.3138265609741211,0.5331602096557617,0.8370871543884277,7.686955451965332,6,76.2416660785675,512,0.0001,0.1,6322,0,0
6,5.0373408233545565,8.912352561950684,22.977848052978516,5.5563191162434515,6.337808132171631,17.37433624267578,5.326291774597168,7.701999664306641,20.417999267578125,1.3875958176242393e+27,14.775739669799805,0.16382499039173126,0.0812382772564888,0.06169271096587181,0.0005731582641601562,0.36464881896972656,0.625023365020752,0.974602222442627,7.679721832275391,7,74.69732999801636,512,0.0001,0.1,6322,0,0
7,4.8499294289764,10.76672649383545,26.412857055664062,5.24593135367473,8.10958480834961,21.14423942565918,5.005001087036133,9.406000137329102,24.623998641967773,8.73253811906246e+26,13.977714538574219,0.1646869033575058,0.08222848922014236,0.06385352462530136,2.765655517578125e-05,0.37114572525024414,0.6304168701171875,0.9659819602966309,8.651327133178711,8,70.08171963691711,512,0.0001,0.1,6323,0,0
8,4.670231735276844,12.508830070495605,29.76712989807129,5.2232292517996415,8.1408052444458,21.401809692382812,4.976235842285156,9.673999786376953,24.4060001373291,6.912907011445973e+26,13.953909873962402,0.16532465815544128,0.0823427364230156,0.06385858356952667,9.012222290039062e-05,0.4059486389160156,0.6855072975158691,1.0764265060424805,7.452483177185059,9,70.29899644851685,512,0.0001,0.1,6323,0,0
9,4.50155227635917,14.443939208984375,32.76188278198242,4.991946764971888,10.302841186523438,25.780517578125,4.71710580657959,12.207999229431152,29.467998504638672,6.140934383793643e+26,14.5235013961792,0.16783367097377777,0.08459089696407318,0.06536809355020523,0.00011730194091796875,0.42946910858154297,0.7281670570373535,1.1200590133666992,8.123600959777832,10,79.63655662536621,512,0.0001,0.1,6323,0,0
