arch,q,pathnorm,log10_pathnorm,finite_pathnorm,depth
resnet18,1,1.329678881819518e+30,30.12374677127364,True,18
resnet18,2,2435.7054176920396,3.386624762118895,True,18
resnet18,4,0.185722914330859,-0.7311345100808149,True,18
resnet18,8,0.0690821024069034,-1.1606344538228348,True,18
resnet18,16,0.06201275284693619,-1.207518989186876,True,18
resnet34,1,1.889721928788774e+51,51.27639790275663,True,34
resnet34,2,1713.9277714684445,3.233992515887268,True,34
resnet34,4,0.1343841081676416,-0.8716520865141355,True,34
resnet34,8,0.05191434446827043,-1.2847126255298076,True,34
resnet34,16,0.04656526872353138,-1.331937886431596,True,34
resnet50,1,4.218486030035675e+69,69.62515661523332,True,50
resnet50,2,1600541666.2009983,9.204266984425567,True,50
resnet50,4,3.764611662759985,0.5757201833471273,True,50
resnet50,8,0.5956772280547533,-0.22498900208211217,True,50
resnet50,16,0.37989426103698143,-0.4203372671686193,True,50
resnet101,1,2.891631219559723e+133,133.46114290497013,True,101
resnet101,2,23429148965.634697,10.369756513682695,True,101
resnet101,4,2.253753815964056,0.35290647506078765,True,101
resnet101,8,0.6044658181206529,-0.2186282529856872,True,101
resnet101,16,0.3680971846125501,-0.4340375042374133,True,101
resnet152,1,6.014001767725844e+194,194.7791635514189,True,152
resnet152,2,748418141797.302,11.874144306335944,True,152
resnet152,4,1.702011067800539,0.23096237987845883,True,152
resnet152,8,0.4264716329029359,-0.3701098509758014,True,152
resnet152,16,0.24583309534381748,-0.6093596505070897,True,152
