,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,6.039725708789303,3.2149389763158727,9.597984799268346,5.525687495123283,5.969101123595506,16.401373283395756,5.41838375,6.598,17.834,2.1243501399004932e+29,86.63356018066406,0.16493017971515656,0.08031486719846725,0.05933908745646477,,,,,,1,256.1708745956421,128,0.0001,0.04500544860152561,1765,0,0
1,4.523036440758144,14.652543441925005,33.024535620801664,4.31355032283864,17.540574282147315,37.87453183520599,4.0878396875,19.276,40.938,1.164360138760816e+28,30.96160316467285,0.15821057558059692,0.07889196276664734,0.06045550853013992,,,,,,2,244.09166383743286,128,0.0001,0.09001089720305122,1768,0,0
2,3.677039641742092,25.67449304613832,48.95463433094705,3.6747949340667914,25.3667290886392,49.18071161048689,3.35760125,29.204,54.646,6.642390379545458e+27,28.332836151123047,0.15403425693511963,0.08027385920286179,0.06689295917749405,,,,,,3,238.10725116729736,128,0.0001,0.1,1768,0,0
3,3.17784698350626,33.47716736573213,58.1204074552966,3.385273108321629,30.83645443196005,54.61142322097378,3.035526875,35.048,61.018,9.403922274594331e+27,34.11724853515625,0.1515619158744812,0.08089248836040497,0.06973658502101898,,,,,,4,266.79024505615234,128,0.0001,0.1,1768,0,0
4,2.8932394982497085,38.16463779999369,63.125611025260966,3.0172672343164795,36.0252808988764,61.274968789013734,2.679760625,40.528,66.848,1.544530002334402e+28,43.07701873779297,0.14874708652496338,0.08002740144729614,0.06904271990060806,,,,,,5,260.54880118370056,128,0.0001,0.1,1768,0,0
5,2.7115468005928918,41.37200794727049,66.22172884669968,2.8038508383075844,39.715980024968786,64.73938826466916,2.50652125,43.666,69.788,2.217810542186631e+28,53.55064010620117,0.14616982638835907,0.0803123190999031,0.07088763266801834,,,,,,6,247.3566176891327,128,0.0001,0.1,1768,0,0
6,2.580360859692832,43.687754265350534,68.41393926014696,2.699833216292135,41.79931335830212,66.76810237203496,2.38001328125,46.302,72.028,2.736485761874515e+28,62.768367767333984,0.1444227248430252,0.0806947872042656,0.07115702331066132,,,,,,7,246.97519707679749,128,0.0001,0.1,1768,0,0
7,2.496373072313854,45.22572455769655,69.78626257529407,2.697138525573502,41.51061173533083,66.75249687890137,2.37292109375,45.854,72.246,3.369230924547736e+28,71.03494262695312,0.14395351707935333,0.08373468369245529,0.07811912894248962,,,,,,8,249.39359092712402,128,0.0001,0.1,1768,0,0
8,2.423035061023684,46.590557885773755,70.97314957898388,2.5938393048728154,43.48470661672909,68.28183520599251,2.26385671875,48.394,73.626,3.9302079225975454e+28,80.74018859863281,0.1444358229637146,0.08385425806045532,0.07713138312101364,,,,,,9,240.05849719047546,128,0.0001,0.1,1768,0,0
9,2.365598489387871,47.658708883913086,71.93880601721908,2.5372957570127186,44.70973782771536,68.81242197253434,2.19007140625,50.016,74.906,4.434862200079465e+28,87.73712921142578,0.14379873871803284,0.08312123268842697,0.07691507786512375,,,,,,10,246.7942955493927,128,0.0001,0.1,1768,0,0
10,2.320966050648081,48.50003153678766,72.69947333564603,2.5792722475811485,44.28058676654182,68.7421972534332,2.23509328125,48.852,74.376,5.095058479117607e+28,95.83294677734375,0.14248351752758026,0.08260738104581833,0.07707143574953079,,,,,,11,235.2234752178192,128,0.0001,0.1,1768,0,0
11,2.281420692863225,49.25762401841748,73.25979374940869,2.502149412843321,45.43539325842696,69.7565543071161,2.2032225,49.688,75.052,5.742720180800269e+28,104.92095947265625,0.14346560835838318,0.08084818720817566,0.0729907900094986,,,,,,12,248.53486514091492,128,0.0001,0.1,1768,0,0
12,2.2476784982181717,49.83853164716642,73.82801728215964,2.3788902482736423,47.13639200998752,71.5043695380774,2.11979234375,51.154,76.362,6.468704691784564e+28,114.68761444091797,0.1429881453514099,0.08046449720859528,0.07121805101633072,,,,,,13,247.7096037864685,128,0.0001,0.1,1768,0,0
13,2.0471892837995522,53.96054747863383,76.87257245576966,1.8913467540574282,56.91323345817728,79.17446941323345,1.6465584375,60.726,83.288,9.653440785869604e+28,138.78982543945312,0.1418205350637436,0.07823183387517929,0.06897511333227158,,,,,,14,248.5096139907837,128,0.0001,0.010000000000000002,1768,0,0
14,1.8776473162193699,57.42328676401022,79.37864328739475,1.8417880359511547,58.21629213483146,79.90792759051186,1.62159828125,61.174,83.664,1.116786216010085e+29,148.57498168945312,0.14357984066009521,0.07815339416265488,0.06916550546884537,,,,,,15,281.79694867134094,128,0.0001,0.010000000000000002,1768,0,0
15,1.8413112207890505,58.12300608660002,79.93447916995174,1.829240396525827,58.247503121098624,79.84550561797752,1.599785625,61.662,83.972,1.171907755439392e+29,150.21815490722656,0.1438038945198059,0.0777195394039154,0.06875720620155334,,,,,,16,248.82579684257507,128,0.0001,0.010000000000000002,1768,0,0
16,1.8186002002586017,58.572171938566335,80.25181494213,1.815119406406055,58.93414481897628,80.00936329588015,1.5834971875,62.04,84.282,1.3055585660329645e+29,157.9220733642578,0.1442694067955017,0.07694734632968903,0.06770932674407959,,,,,,17,246.26768589019775,128,0.0001,0.010000000000000002,1768,0,0
17,1.7966492163108265,58.948008451859096,80.56214324008957,1.7989012757490637,59.01997503121098,80.36048689138576,1.56768140625,62.4,84.49,1.3737216760833532e+29,163.72845458984375,0.144660085439682,0.07671208679676056,0.06771262735128403,,,,,,18,246.10016918182373,128,0.0001,0.010000000000000002,1768,0,0
18,1.787934813459901,59.19226717966508,80.69972562994734,1.7652124602547596,59.31647940074907,80.90667915106117,1.558853125,62.562,84.558,1.4515526981394617e+29,166.65110778808594,0.1442520022392273,0.07631779462099075,0.06736958026885986,,,,,,19,244.2345540523529,128,0.0001,0.010000000000000002,1768,0,0
19,1.7702424784761424,59.529471128070895,80.94231921536472,1.7659049540125624,59.23845193508115,80.59456928838951,1.5580709375,62.628,84.598,1.5348431536390861e+29,173.53598022460938,0.14439436793327332,0.07586761564016342,0.06725935637950897,,,,,,20,246.3629937171936,128,0.0001,0.010000000000000002,1768,0,0
20,1.7583645416127913,59.69227664070138,81.13674351130594,1.736835913116417,60.12796504369538,81.2421972534332,1.542010625,62.914,84.856,1.5835891205272004e+29,174.9219207763672,0.1448940932750702,0.07549694180488586,0.06681713461875916,,,,,,21,266.8954348564148,128,0.0001,0.010000000000000002,1768,0,0
